geocode,year,count,country,log_count
3,FIN,1959,2,Finland,0.6931471805599453
6,GRC,1959,2,Greece,0.6931471805599453
15,TUR,1959,2,Turkey,0.6931471805599453
8,ITA,1959,3,Italy,1.0986122886681098
11,POL,1959,3,Poland,1.0986122886681098
2,DEU,1959,3,Germany,1.0986122886681098
12,RUS,1959,14,Russia,2.6390573296152584
16,USA,1959,81,USA,4.394449154672439
0,CAN,1960,1,Canada,0.5
1,DEU,1960,1,Germany,0.5
2,USA,1960,90,USA,4.499809670330265
0,CAN,1961,5,Canada,1.6094379124341003
1,JPN,1961,5,Japan,1.6094379124341003
2,USA,1961,69,USA,4.23410650459726
0,USA,1962,62,USA,4.127134385045092
0,GBR,1963,1,Scotland,0.5
1,USA,1963,81,USA,4.394449154672439
0,USA,1964,66,USA,4.189654742026425
0,USA,1965,75,USA,4.31748811353631
0,USA,1966,72,USA,4.276666119016055
0,CAN,1967,5,Canada,1.6094379124341003
1,USA,1967,62,USA,4.127134385045092
0,AUT,1968,1,Austria,0.5
1,BEL,1968,1,Belgium,0.5
2,CHE,1968,1,Switzerland,0.5
3,DEU,1968,2,Germany,0.6931471805599453
4,ISR,1968,2,Israel,0.6931471805599453
5,ITA,1968,2,Italy,0.6931471805599453
6,USA,1968,53,USA,3.970291913552122
0,CAN,1969,1,Canada,0.5
1,USA,1969,80,USA,4.382026634673881
0,JPN,1970,5,Japan,1.6094379124341003
1,USA,1970,57,USA,4.04305126783455
0,USA,1971,64,USA,4.1588830833596715
0,USA,1972,77,USA,4.343805421853684
1,PRT,1973,1,Portugal,0.5
0,ESP,1973,3,Spain,1.0986122886681098
2,USA,1973,52,USA,3.9512437185814275
0,AUS,1974,2,Australia,0.6931471805599453
1,JPN,1974,2,Japan,0.6931471805599453
2,NZL,1974,2,New Zealand,0.6931471805599453
3,USA,1974,58,USA,4.060443010546419
0,CHE,1975,1,Switzerland,0.5
1,USA,1975,60,USA,4.0943445622221
2,DNK,1976,1,Denmark,0.5
3,FIN,1976,1,Finland,0.5
4,FRA,1976,1,France,0.5
6,NLD,1976,1,Netherlands,0.5
8,SWE,1976,1,Sweden,0.5
0,AUT,1976,2,Austria,0.6931471805599453
5,GBR,1976,2,Scotland,0.6931471805599453
7,RUS,1976,6,Russia,1.791759469228055
1,DEU,1976,7,Germany,1.9459101490553132
9,USA,1976,66,USA,4.189654742026425
0,USA,1977,71,USA,4.2626798770413155
2,KOR,1978,1,South Korea,0.5
0,DOM,1978,2,Dominican Republic,0.6931471805599453
1,JPN,1978,5,Japan,1.6094379124341003
3,USA,1978,53,USA,3.970291913552122
0,USA,1979,59,USA,4.07753744390572
2,CHE,1980,1,Switzerland,0.5
4,GBR,1980,1,Scotland,0.5
5,NOR,1980,1,Norway,0.5
6,SWE,1980,1,Sweden,0.5
0,AUT,1980,2,Austria,0.6931471805599453
1,BEL,1980,2,Belgium,0.6931471805599453
3,DEU,1980,3,Germany,1.0986122886681098
7,USA,1980,65,USA,4.174387269895637
0,MEX,1981,4,Mexico,1.3862943611198906
1,USA,1981,60,USA,4.0943445622221
3,ECU,1982,1,Ecuador,0.5
2,CHL,1982,2,Chile,0.6931471805599453
